origin 	 dest 	 flow 	 cost
338	15775	14765	2.87189688
338	28455	9080	3.236947956
339	43951	3418	4.639882054
340	14701	5463	1.026036685
340	21623	2675	2.027701262
341	18044	1843	0.920891051
341	21623	8736	0.90547078
342	6840	136	0.888695
342	7978	685	0.832304005
342	24311	6871	0.588599666
342	24449	5	0.642187
343	12912	500	1.557225004
343	33677	3065	1.750026309
344	12912	299	1.192914001
344	19792	5582	0.884961621
345	8054	1414	2.434341073
345	31859	193	1.487447
346	23680	5937	0.965239781
346	43804	0	3.182083
347	10429	3580	4.504745138
347	12106	289	5.772034004
348	15836	661	4.853276025
348	25533	7038	5.825599968
349	9802	0	11.663453
349	13118	98	7.067703
349	22751	377	6.93142601
349	37291	5391	2.988890936
350	14806	1826	3.848185207
350	43646	88	5.185895
351	7129	289	6.128379005
351	30175	1313	3.660753092
351	43311	3016	6.552988116
352	12457	222	2.681595001
352	23029	44	7.376572
352	36815	1798	5.283656274
353	9678	3525	5.229443275
353	37227	0	5.369431
353	41273	359	0.763185
354	6632	798	1.859988015
354	38450	3392	3.882926867
355	4723	697	3.597923021
355	14308	31	5.700498
355	17631	157	5.688434001
355	34988	69	4.70831
356	17631	1333	5.682167148
356	26209	0	7.027183
356	27624	29	7.693221
356	31612	185	3.334582001
356	34988	963	3.963357049
357	16273	1240	0.663744015
358	23029	462	5.377206012
358	24790	27	10.985788
358	40786	58	5.478646
359	29571	11	7.198408
359	32890	0	5.949046
359	41331	3204	3.972032778
360	8527	1552	10.99966141
360	20139	373	4.871976007
360	33789	0	15.070264
361	22620	1320	4.261941109
361	30358	0	8.256347
361	41602	510	4.583156013
362	40247	3494	2.979734712
362	41098	0	5.258539
363	26467	2453	2.049669217
363	28140	6067	0.856059728
364	23662	1397	6.683353194
364	40359	495	4.066755011
365	8057	0	10.83089
365	9482	692	5.307246031
365	20357	2564	2.439849286
366	11830	3101	5.22964595
366	16871	162	5.038246001
366	26064	636	5.922925028
366	31902	0	6.884554
367	11375	268	3.496015002
367	36598	8294	1.638175858
368	6405	4	17.316723
368	13838	187	6.234126002
368	32565	0	10.459866
369	23662	0	6.53968
369	26923	2052.558349	1.216487017
369	34041	7673	4.476589531
369	35465	0	10.799991
369	37640	2267.441651	3.273690289
370	15729	24755.22714	1.890690799
370	19367	3447	10.71343248
370	35584	12767.77286	7.902958193
371	38061	543	12.00153104
371	39019	12647	5.675608133
372	10206	26703	2.463262269
372	15304	1830	3.248641175
373	6994	646	8.932200044
373	7794	0	3.504168
373	10880	0	7.483923
373	32161	15788	3.489500762
