NewNodeID	Longitude	latitude
461	-95973503	28989885
462	-96373057	29195057
463	-96332810	29056931
464	-96411527	29111118
465	-96217483	29097555
466	-96271991	29182297
467	-96138007	29175647
468	-102989363	31116898
469	-96255212	29193771
470	-96224335	29249941
471	-96276105	29213185
472	-96314218	29201051
473	-96285212	29203753
474	-96303131	29313524
475	-96162099	29300905
476	-96087263	29282985
477	-96006858	29201331
478	-95949495	29261416
479	-102814543	30648406
480	-96009844	29276888
481	-96038723	29348486
482	-96071071	29312349
483	-96084686	29332655
484	-96112629	29315447
485	-96095783	29356488
486	-96128908	29376474
487	-96115679	29527267
488	-96212786	29476091
489	-96264288	29395866
490	-102680440	31169695
491	-96062843	29528503
492	-96552932	29405626
493	-96413129	29449704
494	-96348330	29520588
495	-96335925	29653704
496	-96327926	29584216
497	-96494087	29546168
498	-96670813	29593980
499	-96807739	29629388
500	-96716851	29730116
501	-102597452	30979699
502	-96787412	29704349
503	-96545633	29667292
504	-96558579	29704196
505	-96534064	29728844
506	-96618218	29789197
507	-96433656	29777754
508	-96548418	29878642
509	-97155841	29795064
510	-97033281	29696266
511	-97109968	29690086
512	-102462982	30689353
513	-96946856	29697793
514	-96898403	29678456
515	-96823321	29772865
516	-96879919	29848706
517	-97030770	29892588
518	-96996048	29954933
519	-96903217	29913040
520	-96689569	29926466
521	-96642789	29911638
522	-96688463	30063367
523	-102061501	30835495
524	-96782818	30054003
525	-96877086	29986859
526	-96985984	30019229
527	-96787383	29920022
528	-96853824	29907321
529	-97602198	29977940
530	-97528926	29893681
531	-97458778	29781374
532	-97672420	29730042
533	-97637367	29674868
534	-102396537	30148118
535	-97651333	29825949
536	-97666798	29862697
537	-97696704	29871796
538	-97732848	29769145
539	-97767473	29816499
540	-97827255	29845660
541	-97868972	29882300
542	-97800565	29895235
543	-97820510	29916242
544	-97700024	30005245
545	-102173138	30328910
546	-97689373	29900052
547	-97282957	29869992
548	-97276289	29977045
549	-97423020	29939260
550	-97360670	30035408
551	-97560136	30023048
552	-97493040	30026432
553	-97513832	30091233
554	-97435616	30072891
555	-97406244	30137589
556	-106428535	31886548
557	-100922641	29371700
558	-97496692	30130730
559	-97170225	30017168
560	-97111586	30068768
561	-97174757	30131481
562	-97215961	30233388
563	-97244136	30334510
564	-97302939	30349064
565	-97376335	30346797
566	-97322567	30292795
567	-97434032	30211938
568	-100914359	29344616
569	-97335520	30183066
570	-97264977	30162564
571	-97299796	30108087
572	-98154409	30264472
573	-98166098	30142171
574	-98095921	30231028
575	-98035150	30222447
576	-98013766	30171598
577	-98235899	30022800
578	-98163287	30052973
579	-100880599	29358493
580	-98135955	29974594
581	-98112551	30022730
582	-98071599	30032153
583	-98043190	30080083
584	-97942588	30067188
585	-97998413	29878103
586	-98056592	29967123
587	-97975510	29956820
588	-97894100	29959774
589	-97918016	29937061
590	-100877231	29376106
591	-97944021	29899625
592	-97943511	29888009
