From	To	Volume	Cost
20304	208677	4489.59005	2.710438153
20305	208679	539.308558	4.595738015
20307	214082	124.262244	8.554630001
20308	212996	1766.714313	1.644415082
20308	212997	3414.171301	2.909630659
20311	235691	1006.839577	1.346929018
20312	205026	4631.902197	3.031886385
20313	214108	4087.176347	2.181608748
20314	212993	2508.953786	5.911759659
20314	214171	1188.909437	2.371260047
20315	214180	516.460722	4.980217015
20315	235690	636.940316	3.197695015
20318	235705	4340.441537	0.379807149
20320	214047	0	0.386345
20320	235694	0	1.178468
20320	48469	4707.925687	1.297563616
20321	235695	3407.647949	1.137817257
20322	208674	3146.110023	1.615920303
20322	235704	1655.898064	1.088846047
20324	208674	1187.369843	1.99799704
20325	208671	4062.414669	1.80492061
20326	208670	5956.754325	1.123512916
20327	212922	12644.35251	0.92791527
20327	214053	7652.198151	1.09010458
20327	235701	8625.251791	0.681497301
20328	214054	8068.727954	1.085310777
20329	214050	11573.80254	1.154600335
20329	237231	10418.59925	1.194507522
20330	214051	6048.933805	0.423939358
20331	212912	2161.464266	0.776569061
20331	214174	1760.144089	0.783784039
20332	212916	5871.215038	1.571319239
20332	212917	5449.956902	0.78315752
20332	235696	1995.999062	1.142456075
20333	212919	5038.80489	1.082930601
20333	212920	3403.561015	0.687218155
20334	204479	13603.87813	1.81994691
20335	205014	10327.54288	1.080787123
20336	208667	10067.97377	1.154242145
20337	208673	4722.46389	2.280329089
20338	214040	26173.27017	2.871948444
20338	208675	10914.56707	3.236951621
20340	212914	8775.728969	1.026038039
20340	212915	5422.564197	2.027702331
20341	212915	19163.38376	0.905479843
20342	212908	574.142199	0.588599002
20342	235699	12022.72134	0.888698642
20343	214169	1434.84031	1.557225048
20344	214046	7164.433713	0.884962103
20345	214110	268.766905	1.487447001
20345	212907	1377.300376	2.434341068
20347	214077	828.165189	5.77203405
20348	214066	2413.271378	5.825593594
20348	214112	7349.107185	4.853282412
20349	213326	10.8051	11.663453
20349	236555	490.547091	7.067703018
20351	213665	7557.660044	3.660758158
20352	213708	1835.851451	2.681595146
20352	213664	1153.514121	7.376572138
20352	213661	1119.315106	5.283656092
20353	213658	0	0.763185
20353	48255	916.509392	5.369431059
20354	213652	5348.590426	3.88292847
20355	208471	76.380074	5.700498
20355	236559	520.424297	4.708310014
20355	236560	387.75629	3.597923005
20356	208463	937.543789	3.334582039
20356	208466	104.028574	7.027183001
20356	236562	0	3.963357
20356	236560	1001.272356	7.693221104
20358	213661	318.661833	5.377206005
20359	213675	101.277448	7.198408
20359	236451	1291.984979	5.949046144
20360	208448	18.595759	15.070264
20360	213624	445.017109	4.87197601
20361	213692	17.161008	8.256347
20362	213684	2740.654522	2.979734407
20363	213597	2484.874677	2.049669224
20363	213598	9072.69767	0.856060836
20365	208443	0	10.83089
20366	208439	760.760887	6.884554049
20366	208452	9.777757	5.922925
20366	236459	918.802004	5.038246056
20367	208423	10769.75175	1.638178212
20367	208433	1436.307778	3.496015108
20368	237129	0	17.316723
20368	237125	27.649322	10.459866
20369	236454	6990.204978	3.273693855
20370	213697	3003.563778	10.71343181
20371	208424	1320.034309	12.00153131
20372	211222	35240.74308	2.463318759
20373	213601	16442.67265	3.489503383
20374	208346	17648.0967	1.582321678
20374	208347	17220.05519	1.327175428
20374	236453	25470.94929	2.507022764
20374	208351	0	3.563886
20375	214204	2243.051532	4.331840373
20376	214229	4287.613069	2.887313105
20376	208554	145.99322	0.550176
20377	235681	2469.438493	6.753393726
20378	214190	8982.638764	3.296077909
20379	237125	229.436725	13.70235301
20380	214042	1873.520117	6.299024359
20380	208597	672.559137	6.464653035
20381	235677	1566.718927	4.530846171
20381	235678	2546.231565	9.557963103
20382	214191	1121.817737	5.527710097
20382	214189	1321.251176	4.286767109
20383	235675	1626.616478	8.032660331
20384	210139	1687.984419	3.739810168
20385	208582	105.81723	7.832335001
20386	208587	5159.144528	4.290246512
20387	208500	1753.254336	12.2594446
20387	235687	142.098343	5.489482001
20388	208493	1469.102947	2.182340071
20389	208481	216.310341	3.650253001
20389	235685	0	6.327648
20391	212925	101.196205	4.370012
20391	235688	1435.913732	9.568438296
20392	235686	1967.916161	1.813090116
20393	212886	2021.063562	8.433107572
20393	235672	230.351635	3.825554002
20394	210330	0	12.337648
20394	235670	1522.940563	3.40443512
20395	213301	2282.538912	2.354430211
20396	235669	0	15.869659
20397	210345	1539.398743	5.189687188
20398	208575	178.524887	7.010492002
20398	210339	0	4.741368
20399	208601	825.595507	7.249887063
20400	210063	3199.600304	8.580870674
